model,layer,n_axes,share_q05,share_q25,share_q50,share_q75,share_q95,fraction_share_gt_0_50,fraction_share_gt_0_75,fraction_share_gt_0_90,fraction_language_heavy_by,gini_ss_language,top5_raw_variance_ss_language_fraction,spearman_language_share_vs_raw_variance,median_share_top5_raw_variance,median_share_rest,median_share_top5_minus_rest,n_languages,n_concepts,dimension,lfs_direct_standardized,mean_pairwise_cosine_raw,top_eigen_share_raw,gaussian_null_mean
Qwen3-1.7B-Base,28,2048,0.7121682210323852,0.844763718196234,0.8998297813621037,0.936929003177322,0.9714222291929602,0.99658203125,0.92578125,0.49853515625,1.0,0.9389144463804946,0.9277068393967675,0.6050233411472062,0.9760212039946524,0.8966661024675032,0.0793551015271492,13,300,2048,0.8885773963331693,0.5250422226262715,0.5146500123412534,0.0385852090032154
Qwen3-4B-Base,0,2560,0.6340406822122662,0.7654139982952562,0.8397619083645163,0.8922080190628362,0.9415706153438542,0.987890625,0.801171875,0.208984375,1.0,0.43471634682156846,0.24919068767569438,0.7621442553454216,0.93421560368836,0.8351779588578017,0.09903764483055832,13,300,2560,0.8374439691273802,0.2562957068334133,0.2395788411026494,0.0385852090032154
Qwen3-4B-Base,9,2560,0.27346565863241723,0.4325596778240377,0.5530829190935725,0.6765434791650309,0.823809856791669,0.61875,0.13125,0.013671875,0.999609375,0.9955964119392913,0.9928972619454548,0.6062144067233134,0.8407458154608336,0.5445651079544006,0.296180707506433,13,300,2560,0.5801266474018719,0.9731525168846316,0.9907353474680062,0.0385852090032154
Qwen3-4B-Base,17,2560,0.17266868192778168,0.2967127065868184,0.41267582195926045,0.5558098980982785,0.760709521917309,0.339453125,0.055859375,0.008203125,0.996484375,0.9963800752713172,0.992235177179248,0.4729228884388562,0.7696866258465396,0.4012926384234929,0.3683939874230467,13,300,2560,0.4561070964075558,0.9692536624731586,0.9873816288624976,0.0385852090032154
Qwen3-4B-Base,27,2560,0.536997087453442,0.7338239233047731,0.817360275346116,0.8808842876842651,0.9423526954195283,0.963671875,0.710546875,0.180859375,1.0,0.8950940126124014,0.8461110552990323,0.327667258431207,0.8745489503290076,0.8165844022372484,0.057964548091759216,13,300,2560,0.8043263490138753,0.8793967563779145,0.853779879439917,0.0385852090032154
Qwen3-4B-Base,36,2560,0.7106333579586626,0.838838501284626,0.8977281222380775,0.938476517221486,0.9710080827223546,0.99453125,0.918359375,0.48203125,1.0,0.9196098859987458,0.8930185220026714,0.6871153404125732,0.977008377105707,0.8937456497775531,0.08326272732815387,13,300,2560,0.8864571566809325,0.3751902759561227,0.371652219812919,0.0385852090032154
Qwen3-8B-Base,0,4096,0.7086932347085545,0.8235750461564204,0.8781872295299682,0.9155703085840177,0.9515803639818066,0.99658203125,0.914794921875,0.35595703125,1.0,0.3888333615960784,0.21793538704479276,0.8074516943208022,0.9557687135213656,0.8758134986180617,0.07995521490330393,13,300,4096,0.8743578957482872,0.4017214550985791,0.1986718098219822,0.0385852090032154
Qwen3-8B-Base,9,4096,0.32256256644956793,0.48622405922903567,0.6034518279966878,0.7124396092082017,0.8299060529431117,0.728515625,0.1640625,0.0087890625,1.0,0.9947136065152564,0.9917569828709486,0.5990004854030265,0.7743359450610363,0.5948685210248235,0.17946742403621285,13,300,4096,0.6171749564719544,0.9635833974981453,0.9886224804606168,0.0385852090032154
Qwen3-8B-Base,19,4096,0.17252955256947763,0.30140401995595456,0.4138939528563342,0.5449245317536782,0.7280161831927575,0.32763671875,0.03564453125,0.00390625,0.996337890625,0.9938316135420819,0.9865648807119849,0.46736141646851853,0.6749155683026451,0.4055841503972771,0.269331417905368,13,300,4096,0.4492824643532386,0.9460681328837172,0.9738286101366714,0.0385852090032154
Qwen3-8B-Base,27,4096,0.5428061651842555,0.7194614547147827,0.8112363519112487,0.8753791663475481,0.9356591585108275,0.967529296875,0.690673828125,0.154052734375,0.99951171875,0.812470400122361,0.7327025537862604,0.4201379065181371,0.747852343201914,0.8124478167511542,-0.06459547354924022,13,300,4096,0.797506261002557,0.8379387588219629,0.7090280090827527,0.0385852090032154
Qwen3-8B-Base,36,4096,0.7101734881599431,0.8329398558398258,0.8883255899903274,0.9265501102495557,0.9646163128680296,0.994873046875,0.91796875,0.42626953125,1.0,0.9719465258793072,0.965284165474667,0.6922242900960656,0.96613325472065,0.8869295867915304,0.07920366792911959,13,300,4096,0.8787959488656687,0.4889460253847092,0.6801624938203527,0.0385852090032154
SmolLM2-1.7B,0,2048,0.8984789630927276,0.9437677350214934,0.9626910914920469,0.9756906640917955,0.98693021869737,1.0,0.9990234375,0.9482421875,1.0,0.42646801157056635,0.2530282707283025,0.841413249170214,0.9872889133277843,0.9614895249092112,0.0257993884185731,13,300,2048,0.9586847505816288,0.3225543962145623,0.2998883470566456,0.0385852090032154
SmolLM2-1.7B,6,2048,0.8888327634249824,0.935858726680205,0.9566201653136694,0.9687091483420409,0.9813258614717766,1.0,0.9970703125,0.92578125,1.0,0.8302035932785437,0.7793645475439751,0.6903678423111957,0.9566014838567984,0.9566388467705405,-3.736291374201173e-05,13,300,2048,0.9509641929151614,0.8577806141691553,0.753964166032513,0.0385852090032154
SmolLM2-1.7B,15,2048,0.723982549508643,0.8285092911515656,0.8793845155389657,0.9139529126137727,0.950298355568905,0.9970703125,0.92431640625,0.35791015625,1.0,0.9814981160597054,0.9748097381156204,0.5435000105164971,0.8945393466286577,0.8781938476052399,0.016345499023417864,13,300,2048,0.8694759748630935,0.9582415788044664,0.9739539038783888,0.0385852090032154
SmolLM2-1.7B,18,2048,0.8405424960541429,0.9098380573916444,0.9393843192746545,0.9585245656968849,0.9752690200709784,0.9970703125,0.98828125,0.81103515625,1.0,0.8858577444706612,0.8546612341027546,0.5507061984211085,0.9116116248980598,0.9396692819145908,-0.028057657016530957,13,300,2048,0.9298714815611367,0.9038211032321984,0.8949440815783312,0.0385852090032154
SmolLM2-1.7B,24,2048,0.8709704525887648,0.9285068289764989,0.9533461674718404,0.9694818348884544,0.9869496821506568,1.0,0.99658203125,0.88916015625,1.0,0.8585627426520266,0.8100070124140017,0.7439016750443996,0.9795567116683748,0.9527875788911104,0.026769132777264337,13,300,2048,0.9474616869006064,0.6186799416776916,0.3893823215324714,0.0385852090032154
bloom-1b7,0,2048,0.5845070502355975,0.7270197305453834,0.8115715033305553,0.8796399365135134,0.9471910887762393,0.98193359375,0.69287109375,0.177734375,1.0,0.5745686100378837,0.4050911200841709,0.46510297578420656,0.9470690085348404,0.8042558876375058,0.14281312089733467,13,300,2048,0.8236489490769876,0.3210480439708311,0.2102703517099836,0.0385852090032154
