model,layer,n_languages,n_concepts,dimension,family,perturbation,magnitude,preprocessing,metric,value,reference_value,expected_value,analytic_expectation,absolute_error,relative_error,tolerance,analytic_status,identity_value,delta_from_identity,fractional_change_over_abs_identity
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,standardized,lfs_vc_reml,0.8303748739372657,0.8303748739372657,0.8303748739372657,positive-diagonal invariant after coordinate standardization,0.0,0.0,8.313748739372657e-07,PASS,0.8303748739372657,0.0,0.0
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,standardized,mexa_external,0.4963888888888889,0.4963888888888889,0.4963888888888889,positive-diagonal invariant after coordinate standardization,0.0,0.0,4.973888888888889e-07,PASS,0.4963888888888889,0.0,0.0
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,standardized,aar10,-0.0654386339201006,-0.0654386339201006,-0.0654386339201006,positive-diagonal invariant after coordinate standardization,1.3877787807814457e-17,2.120733116886117e-16,6.64386339201006e-08,PASS,-0.0654386339201006,0.0,0.0
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,standardized,mean_alignment_margin,0.0463792774024385,0.0463792774024385,0.0463792774024385,positive-diagonal invariant after coordinate standardization,0.0,0.0,4.737927740243853e-08,PASS,0.0463792774024385,0.0,0.0
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,standardized,linear_cka,0.6149616663587253,0.6149616663587253,0.6149616663587253,positive-diagonal invariant after coordinate standardization,0.0,0.0,6.159616663587252e-07,PASS,0.6149616663587253,0.0,0.0
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,standardized,cvp_within_raw,917.9866737301612,917.986673730161,917.986673730161,positive-diagonal invariant after coordinate standardization,1.1368683772161605e-13,1.238436689496365e-16,0.0009179876737301,PASS,917.986673730161,2.2737367544323206e-13,2.47687337899273e-16
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,standardized,cpres_shared_raw,300.25816957490514,300.25816957490514,300.25816957490514,positive-diagonal invariant after coordinate standardization,0.0,0.0,0.0003002591695749,PASS,300.25816957490514,0.0,0.0
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,standardized,mean_norm,44.77553844043394,44.77553844043394,44.77553844043394,positive-diagonal invariant after coordinate standardization,0.0,0.0,4.477653844043394e-05,PASS,44.77553844043394,0.0,0.0
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,standardized,concept_rank_covariance_entropy,103.42479712330974,103.42479712330974,103.42479712330974,positive-diagonal invariant after coordinate standardization,0.0,0.0,0.0001034257971233,PASS,103.42479712330974,0.0,0.0
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,standardized,concept_rank_singular_entropy,238.10886323533356,238.10886316002012,238.10886316002012,positive-diagonal invariant after coordinate standardization,7.531338042099378e-08,3.1629809752348323e-10,0.00023810986316,PASS,238.10886316002012,7.531343726441264e-08,3.1629833625218116e-10
