model,layer,n_languages,n_concepts,dimension,family,perturbation,magnitude,preprocessing,metric,value,reference_value,expected_value,analytic_expectation,absolute_error,relative_error,tolerance,analytic_status,identity_value,delta_from_identity,fractional_change_over_abs_identity,retained_rank
Mistral-7B-v0.3,2,13,300,4096,rank,concept_main_effect_projection,rank=9,standardized,lfs_direct,0.7952388730509297,0.749392110380016,,empirical,,,,EMPIRICAL,0.749392110380016,0.0458467626709137,0.06117860334513644,9
Mistral-7B-v0.3,2,13,300,4096,rank,concept_main_effect_projection,rank=9,standardized,ss_language,8243560.126448249,7946365.088000813,,empirical,,,,EMPIRICAL,7946365.088000813,297195.0384474369,0.037400123849860356,9
Mistral-7B-v0.3,2,13,300,4096,rank,concept_main_effect_projection,rank=9,standardized,ss_concept,2122583.186971371,2657382.907119152,,empirical,,,,EMPIRICAL,2657382.907119152,-534799.7201477811,-0.20125053063111376,9
Mistral-7B-v0.3,2,13,300,4096,rank,concept_main_effect_projection,rank=9,standardized,ss_residual,5608256.686580393,5370652.004880041,,empirical,,,,EMPIRICAL,5370652.004880041,237604.68170035258,0.04424131027004788,9
Mistral-7B-v0.3,2,13,300,4096,rank,concept_main_effect_projection,rank=9,standardized,language_share_total,0.5160481849990135,0.4974437279647943,,empirical,,,,EMPIRICAL,0.4974437279647943,0.0186044570342192,0.037400123849859655,9
Mistral-7B-v0.3,2,13,300,4096,rank,concept_main_effect_projection,rank=9,standardized,concept_share_total,0.1328740476619697,0.1663525958483042,,empirical,,,,EMPIRICAL,0.1663525958483042,-0.0334785481863345,-0.20125053063111417,9
Mistral-7B-v0.3,2,13,300,4096,rank,concept_main_effect_projection,rank=9,standardized,residual_share_total,0.3510777673390167,0.3362036761869015,,empirical,,,,EMPIRICAL,0.3362036761869015,0.014874091152115188,0.0442413102700472,9
Mistral-7B-v0.3,2,13,300,4096,rank,concept_main_effect_projection,rank=9,standardized,lfs_vc_reml,0.8388173716154564,0.7948220327420257,,empirical,,,,EMPIRICAL,0.7948220327420257,0.04399533887343077,0.05535243999421224,9
Mistral-7B-v0.3,2,13,300,4096,rank,concept_main_effect_projection,rank=9,standardized,mexa_external,0.0102777777777777,0.0591666666666666,,empirical,,,,EMPIRICAL,0.0591666666666666,-0.0488888888888889,-0.8262910798122077,9
Mistral-7B-v0.3,2,13,300,4096,rank,concept_main_effect_projection,rank=9,standardized,aar10,-0.2987358871914838,-0.2130503260554549,,empirical,,,,EMPIRICAL,-0.2130503260554549,-0.0856855611360289,-0.4021846045601723,9
