model,layer,n_languages,n_concepts,dimension,lfs_direct_standardized,mean_pairwise_cosine_raw,top_eigen_share_raw,coordinate_share_mean,coordinate_share_median,coordinate_share_gini,gaussian_null_mean,by_alpha,n_language_heavy_by,fraction_language_heavy_by,top_variance_fraction,overlap_with_top5_variance,fraction_significant_in_top5_variance,overlap_with_matched_top_variance,fraction_significant_in_matched_top_variance
bloom-7b1,22,13,300,4096,0.7762382097565377,0.7956916010025769,0.7325452896391015,0.7621030820842412,0.7809604642229984,0.0818380132686802,0.0385852090032154,0.05,4096,1.0,0.05,205,0.050048828125,4096,1.0
bloom-7b1,30,13,300,4096,0.7735570095422035,0.1126627645649763,0.2920870816848875,0.7421075229689671,0.7604840406873346,0.116537833442839,0.0385852090032154,0.05,4096,1.0,0.05,205,0.050048828125,4096,1.0
salamandra-2b,0,13,300,2048,0.9603957830564124,0.5571232575157437,0.2305815398209983,0.9567060927918714,0.9652931572611269,0.0163148897224827,0.0385852090032154,0.05,2048,1.0,0.05,103,0.05029296875,2048,1.0
salamandra-2b,6,13,300,2048,0.808007891684794,0.9601815047692468,0.9952223858232868,0.7934183261029492,0.8192670789868912,0.0842498751263642,0.0385852090032154,0.05,2048,1.0,0.05,103,0.05029296875,2048,1.0
salamandra-2b,18,13,300,2048,0.8639959348523434,0.8421578900629202,0.9829589531901978,0.8540018671355015,0.8758541037091216,0.0513964516172138,0.0385852090032154,0.05,2048,1.0,0.05,103,0.05029296875,2048,1.0
salamandra-2b,24,13,300,2048,0.9167273412998552,0.4225850138576405,0.3003570331317314,0.9081365700717736,0.9208365863473406,0.0349421782233796,0.0385852090032154,0.05,2048,1.0,0.05,103,0.05029296875,2048,1.0
salamandra-7b,0,13,300,4096,0.9584435235110864,0.2380014593667282,0.2306876486945012,0.9540881778976822,0.963951577795186,0.0176991705237115,0.0385852090032154,0.05,4096,1.0,0.05,205,0.050048828125,4096,1.0
salamandra-7b,8,13,300,4096,0.8970239392597557,0.981897214216408,0.996230388549284,0.8895337032970771,0.9076551138759686,0.0401669088167155,0.0385852090032154,0.05,4096,1.0,0.05,205,0.050048828125,4096,1.0
salamandra-7b,18,13,300,4096,0.7694086996742854,0.8726272823166644,0.9613948826889284,0.7533455651863756,0.7705196629429123,0.0808356457210062,0.0385852090032154,0.05,4096,1.0,0.05,205,0.050048828125,4096,1.0
salamandra-7b,24,13,300,4096,0.8722585243200615,0.6910698339435323,0.8028738355711268,0.8639459614214058,0.88026786583891,0.0449050442402028,0.0385852090032154,0.05,4096,1.0,0.05,205,0.050048828125,4096,1.0
salamandra-7b,32,13,300,4096,0.9106333613970644,0.4760069263389827,0.3042652801988684,0.9027454718270932,0.9167692743891545,0.0357447474404979,0.0385852090032154,0.05,4096,1.0,0.05,205,0.050048828125,4096,1.0
