model,flores_code,mexa_shared,aar_shared,q_L,r_content,log_tokens,macro_family_g,script_g,fertility,acc_native,acc_trans,acc
Yi-1.5-9B,ces_Latn,0.6633333333333333,-0.006172189576821802,0.19687513027913273,,10.755192300065602,Balto-Slavic,Latn,1.9043941176470587,,0.6377777777777778,0.6377777777777778
Yi-1.5-9B,ron_Latn,0.7833333333333333,0.004695974910549679,0.19687513027913273,,10.598220789235437,Indo-European,Latn,1.5607,,0.7255555555555555,0.7255555555555555
Yi-1.5-9B,rus_Cyrl,0.8133333333333334,-0.008479651409792587,0.19687513027913273,,11.867586387163913,Balto-Slavic,Cyrl,1.9942470588235295,0.5072463768115942,0.7533333333333333,0.6302898550724638
Yi-1.5-9B,ukr_Cyrl,0.73,-0.012285511480700981,0.19687513027913273,,10.582360317494818,Balto-Slavic,Cyrl,2.340729411764706,0.5472727272727272,0.6377777777777778,0.5925252525252525
Yi-1.5-9B,bul_Cyrl,0.7366666666666667,-0.01973321472201272,0.19687513027913273,,10.360175858097726,Balto-Slavic,Cyrl,2.0901764705882355,0.4781818181818182,0.6277777777777778,0.552979797979798
Yi-1.5-9B,ell_Grek,0.28,-0.040417612857013084,0.19687513027913273,,10.634956550916772,Indo-European,other,3.2260705882352942,0.358695652173913,0.5255555555555556,0.4421256038647343
Yi-1.5-9B,tur_Latn,0.58,-0.018131163029999238,0.19687513027913273,,10.808162253319553,Turkic,Latn,1.7084764705882354,0.4908759124087591,0.5544444444444444,0.5226601784266017
Yi-1.5-9B,arb_Arab,0.44666666666666666,-0.02135972360091445,0.19687513027913273,,10.841073612355865,Afro-Asiatic,Arab,3.117952941176471,0.4492753623188406,0.5866666666666667,0.5179710144927536
Yi-1.5-9B,heb_Hebr,0.16,-0.038379661901876486,0.19687513027913273,,9.693476506485494,Afro-Asiatic,other,4.055217647058823,0.5472727272727272,0.46111111111111114,0.5041919191919192
Yi-1.5-9B,pes_Arab,0.44333333333333336,-0.026713067258218752,0.19687513027913273,,10.662263375070816,Indo-European,Arab,3.4424411764705884,0.3740875912408759,0.5522222222222222,0.463154906731549
Yi-1.5-9B,hin_Deva,0.15666666666666668,-0.06191522739729868,0.19687513027913273,,10.225085947081105,Indo-European,Deva,4.760605882352941,0.41316270566727603,0.46555555555555556,0.4393591306114158
Yi-1.5-9B,ben_Beng,0.04,-0.06219414051964352,0.19687513027913273,,9.981044874347496,Indo-European,other,6.026417647058824,0.35766423357664234,0.41888888888888887,0.3882765612327656
Yi-1.5-9B,tam_Taml,0.03333333333333333,-0.07485324483006112,0.19687513027913273,,9.641283555217916,Dravidian,other,6.100917647058823,0.2963636363636364,0.3933333333333333,0.34484848484848485
Yi-1.5-9B,tel_Telu,0.04666666666666667,-0.07171131449622684,0.19687513027913273,,9.195061276656201,Dravidian,other,7.609270588235294,0.3302919708029197,0.37,0.35014598540145986
Yi-1.5-9B,mar_Deva,0.06666666666666667,-0.06004993601642997,0.19687513027913273,,9.291197362643686,Indo-European,Deva,5.015682352941177,,0.4022222222222222,0.4022222222222222
Yi-1.5-9B,urd_Arab,0.15,-0.06823472043290672,0.19687513027913273,,9.431854501264098,Indo-European,Arab,3.964352941176471,0.38920454545454547,0.42777777777777776,0.4084911616161616
Yi-1.5-9B,vie_Latn,0.45666666666666667,-0.011221455067815338,0.19687513027913273,,10.743353922054286,other,Latn,2.1605588235294118,0.44,0.6555555555555556,0.5477777777777778
Yi-1.5-9B,ind_Latn,0.8033333333333333,0.025813656636333934,0.19687513027913273,,10.081454105942349,Austronesian,Latn,1.3422529411764705,0.5363636363636364,0.6666666666666666,0.6015151515151516
Yi-1.5-9B,zsm_Latn,0.74,0.005336068183842655,0.19687513027913273,,7.287263587861631,Austronesian,Latn,1.3803882352941177,0.43912175648702595,0.6666666666666666,0.5528942115768463
Yi-1.5-9B,tha_Thai,0.15333333333333332,-0.0619356870262538,0.19687513027913273,,10.196379987855126,Tai-Kadai,other,5.162605882352942,,0.48,0.48
Yi-1.5-9B,zho_Hans,0.9466666666666667,0.0041545989597962275,0.19687513027913273,,11.356131798505956,Sino-Tibetan,other,4.402152941176471,0.7155963302752294,0.8188888888888889,0.7672426095820591
Yi-1.5-9B,jpn_Jpan,0.6733333333333333,-0.013204183354489803,0.19687513027913273,,11.032916144087627,other,other,5.0625647058823535,0.6167664670658682,0.7388888888888889,0.6778276779773786
Yi-1.5-9B,kor_Hang,0.57,-0.030241650021617404,0.19687513027913273,,10.393846195528992,other,other,5.392352941176471,0.484,0.6644444444444444,0.5742222222222222
Yi-1.5-9B,fin_Latn,0.6366666666666667,-0.01255332706464943,0.19687513027913273,,10.461273505456898,Uralic,Latn,1.6468823529411765,0.38294010889292196,0.6244444444444445,0.5036922766686832
Yi-1.5-9B,hun_Latn,0.35,-0.03430082999589225,0.19687513027913273,,10.637669631397417,Uralic,Latn,1.797864705882353,0.3618181818181818,0.5688888888888889,0.46535353535353535
Yi-1.5-9B,est_Latn,0.2733333333333333,-0.07208769404182346,0.19687513027913273,,9.944761723531126,Uralic,Latn,1.6741529411764706,0.32142857142857145,0.44222222222222224,0.38182539682539685
Yi-1.5-9B,kat_Geor,0.02666666666666667,-0.08172537737744413,0.19687513027913273,,9.417907523376437,other,other,6.757517647058824,0.284,0.3244444444444444,0.30422222222222217
Yi-1.5-9B,amh_Ethi,0.006666666666666667,-0.09644264089595155,0.19687513027913273,,8.5541337799261,Afro-Asiatic,other,9.0556,,0.30444444444444446,0.30444444444444446
Yi-1.5-9B,swh_Latn,0.13333333333333333,-0.09101226176968694,0.19687513027913273,,7.487255902011655,Atlantic-Congo,Latn,1.6242705882352941,,0.36444444444444446,0.36444444444444446
Yi-1.5-9B,yor_Latn,0.02,-0.1170076960261059,0.19687513027913273,,4.632892380992985,Atlantic-Congo,Latn,2.822870588235294,,0.2677777777777778,0.2677777777777778
Yi-1.5-9B,khm_Khmr,0.06666666666666667,-0.07852190783793103,0.19687513027913273,,8.873125289337338,other,other,7.467370588235294,,0.38666666666666666,0.38666666666666666
Yi-1.5-9B,mya_Mymr,0.0033333333333333335,-0.08046978177926901,0.19687513027913273,,8.94576714414124,Sino-Tibetan,other,9.286835294117648,,0.31333333333333335,0.31333333333333335
granite-3.1-8b-base,deu_Latn,0.87,0.04059274990849296,0.3452025051994001,,11.552705133249123,Indo-European,Latn,1.3225588235294117,0.3669064748201439,0.5255555555555556,0.4462310151878497
granite-3.1-8b-base,fra_Latn,0.77,0.00814520354906322,0.3452025051994001,,11.504243358607456,Indo-European,Latn,1.2537352941176472,0.5107398568019093,0.6011111111111112,0.5559254839565102
granite-3.1-8b-base,spa_Latn,0.8933333333333333,0.0343076562015353,0.3452025051994001,,11.572692346038526,Indo-European,Latn,1.2007941176470587,0.5436363636363636,0.5588888888888889,0.5512626262626262
granite-3.1-8b-base,por_Latn,0.8633333333333333,0.04178800633445214,0.3452025051994001,,11.136535917638877,Indo-European,Latn,1.2411764705882353,0.47186932849364793,0.6166666666666667,0.5442679975801573
granite-3.1-8b-base,ita_Latn,0.9,0.046029242514199924,0.3452025051994001,,11.218657350111846,Indo-European,Latn,1.2658764705882353,0.5802919708029197,0.5722222222222222,0.576257096512571
granite-3.1-8b-base,nld_Latn,0.83,0.030364397177046802,0.3452025051994001,,10.903264809073452,Indo-European,Latn,1.3371529411764707,0.5263157894736842,0.5311111111111111,0.5287134502923976
granite-3.1-8b-base,swe_Latn,0.62,-0.06595954583115347,0.3452025051994001,,10.585304823582218,Indo-European,Latn,1.4709764705882353,,0.4588888888888889,0.4588888888888889
granite-3.1-8b-base,pol_Latn,0.31333333333333335,-0.07337224998857249,0.3452025051994001,,11.069183544489329,Balto-Slavic,Latn,1.8035588235294118,0.3248175182481752,0.4033333333333333,0.36407542579075425
granite-3.1-8b-base,ces_Latn,0.64,0.007149810356257946,0.3452025051994001,,10.755192300065602,Balto-Slavic,Latn,1.9043941176470587,,0.5188888888888888,0.5188888888888888
granite-3.1-8b-base,ron_Latn,0.44333333333333336,-0.07326048758294197,0.3452025051994001,,10.598220789235437,Indo-European,Latn,1.5607,,0.46555555555555556,0.46555555555555556
granite-3.1-8b-base,rus_Cyrl,0.36666666666666664,-0.11173353463207449,0.3452025051994001,,11.867586387163913,Balto-Slavic,Cyrl,1.9942470588235295,0.39492753623188404,0.4622222222222222,0.4285748792270531
granite-3.1-8b-base,ukr_Cyrl,0.21666666666666667,-0.11101061210714344,0.3452025051994001,,10.582360317494818,Balto-Slavic,Cyrl,2.340729411764706,0.4018181818181818,0.41,0.4059090909090909
granite-3.1-8b-base,bul_Cyrl,0.2733333333333333,-0.10050836069200268,0.3452025051994001,,10.360175858097726,Balto-Slavic,Cyrl,2.0901764705882355,0.4018181818181818,0.4066666666666667,0.40424242424242424
granite-3.1-8b-base,ell_Grek,0.07,-0.31029445762775637,0.3452025051994001,,10.634956550916772,Indo-European,other,3.2260705882352942,0.32065217391304346,0.38333333333333336,0.3519927536231884
