model,layer,n_languages,n_concepts,dimension,family,perturbation,magnitude,preprocessing,metric,value,reference_value,expected_value,analytic_expectation,absolute_error,relative_error,tolerance,analytic_status
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,standardized,ss_language,4407051.972452371,4407051.972452371,4407051.972452371,uniform-scale invariant after coordinate standardization,0.0,0.0,4.407051973452371,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,standardized,ss_concept,1171006.8613421305,1171006.86134213,1171006.86134213,uniform-scale invariant after coordinate standardization,4.656612873077393e-10,3.9765888884205966e-16,1.17100686234213,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,standardized,ss_residual,2409141.1662055,2409141.1662055,2409141.1662055,uniform-scale invariant after coordinate standardization,0.0,0.0,2.4091411672054996,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,standardized,language_share_total,0.5517643194676946,0.5517643194676946,0.5517643194676946,uniform-scale invariant after coordinate standardization,0.0,0.0,5.527643194676945e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,standardized,concept_share_total,0.14661043436274668,0.14661043436274662,0.14661043436274662,uniform-scale invariant after coordinate standardization,5.551115123125783e-17,3.7863028966895334e-16,1.4761043436274662e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,standardized,residual_share_total,0.3016252461695587,0.3016252461695587,0.3016252461695587,uniform-scale invariant after coordinate standardization,0.0,0.0,3.026252461695587e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,standardized,lfs_vc_reml,0.8303748739372657,0.8303748739372657,0.8303748739372657,uniform-scale invariant after coordinate standardization,0.0,0.0,8.313748739372657e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,standardized,mexa_external,0.49638888888888894,0.49638888888888894,0.49638888888888894,uniform-scale invariant after coordinate standardization,0.0,0.0,4.973888888888889e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,standardized,aar10,-0.06543863392010058,-0.0654386339201006,-0.0654386339201006,uniform-scale invariant after coordinate standardization,2.7755575615628914e-17,4.241466233772235e-16,6.64386339201006e-08,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,standardized,mean_alignment_margin,0.04637927740243855,0.046379277402438523,0.046379277402438523,uniform-scale invariant after coordinate standardization,2.7755575615628914e-17,5.984477803479014e-16,4.7379277402438525e-08,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,standardized,linear_cka,0.6149616663587253,0.6149616663587253,0.6149616663587253,uniform-scale invariant after coordinate standardization,0.0,0.0,6.159616663587252e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,standardized,cvp_within_raw,917.9866737301611,917.986673730161,917.986673730161,uniform-scale invariant after coordinate standardization,1.1368683772161603e-13,1.238436689496365e-16,0.000917987673730161,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,standardized,cpres_shared_raw,300.25816957490514,300.25816957490514,300.25816957490514,uniform-scale invariant after coordinate standardization,0.0,0.0,0.00030025916957490516,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,standardized,mean_norm,44.77553844043394,44.77553844043394,44.77553844043394,uniform-scale invariant after coordinate standardization,0.0,0.0,4.477653844043394e-05,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,standardized,concept_rank_covariance_entropy,103.42479712330966,103.42479712330974,103.42479712330974,uniform-scale invariant after coordinate standardization,8.526512829121202e-14,8.244166840332634e-16,0.00010342579712330975,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,standardized,concept_rank_singular_entropy,238.10886256796988,238.10886316002015,238.10886316002015,uniform-scale invariant after coordinate standardization,5.920502701428632e-07,2.4864688457437976e-09,0.00023810986316002012,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,standardized,concept_participation_ratio,42.69521387433856,42.69521387433855,42.69521387433855,uniform-scale invariant after coordinate standardization,1.4210854715202004e-14,3.3284420958816815e-16,4.269621387433855e-05,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,raw,lfs_direct,0.4596389813696337,0.4596389813696337,0.4596389813696337,uniform-scale invariant,0.0,0.0,4.6063898136963373e-07,PASS
