model,flores_code,acc,script,macro_family,log_tokens,fertility,mexa,aar10,margin_mean,macro_family_g,script_g,y
SmolLM2-1.7B,ceb_Latn,0.3,Latn,Austronesian,,,,,,Austronesian,Latn,-2.639057329615259
SmolLM2-1.7B,fin_Latn,0.30666666666666664,Latn,Uralic,10.461273505456898,1.9839,0.06666666666666667,-0.0720469132065773,0.0019349964568391442,Uralic,Latn,-2.5043247356451026
SmolLM2-1.7B,hin_Deva,0.25,Deva,Indo-European,10.225085947081105,4.7998,0.08666666666666667,-0.054710566997528076,-0.007304994389414787,Indo-European,Deva,-4.304065093204169
SmolLM2-1.7B,ita_Latn,0.31666666666666665,Latn,Indo-European,11.218657350111846,1.525,0.8566666666666667,0.0187721885740757,0.1261991560459137,Indo-European,Latn,-2.3272777055844176
SmolLM2-1.7B,khm_Khmr,0.2833333333333333,Khmr,Austroasiatic,8.873125289337338,9.1233,0.006666666666666667,-0.08597206324338913,-0.04954814910888672,other,other,-3.0680529351336174
SmolLM2-1.7B,lvs_Latn,0.28,Latn,Balto-Slavic,9.894602930159628,2.3249,0.05333333333333334,-0.08209695667028427,-0.007659999653697014,Balto-Slavic,Latn,-3.178053830347945
SmolLM2-1.7B,npi_Deva,0.27,Deva,Indo-European,9.314204818644845,4.9684,0.03,-0.07673405855894089,-0.02595505863428116,Indo-European,Deva,-3.5973122605884447
SmolLM2-1.7B,pol_Latn,0.27,Latn,Balto-Slavic,11.069183544489329,2.3802,0.24333333333333335,-0.03530114144086838,0.037196677178144455,Balto-Slavic,Latn,-3.5973122605884447
SmolLM2-1.7B,slv_Latn,0.28,Latn,Balto-Slavic,9.903501694149961,1.9513,0.27666666666666667,-0.046499740332365036,0.03642657399177551,Balto-Slavic,Latn,-3.178053830347945
SmolLM2-1.7B,swe_Latn,0.29333333333333333,Latn,Indo-European,10.585304823582218,1.8109,0.6066666666666667,-0.004491165280342102,0.0893961563706398,Indo-European,Latn,-2.7916369172104756
SmolLM2-1.7B,tso_Latn,0.24333333333333335,Latn,Afro-Asiatic,,,,,,Afro-Asiatic,Latn,-4.304065093204169
SmolLM2-1.7B,xho_Latn,0.2733333333333333,Latn,Atlantic-Congo,,1.9778,0.06666666666666667,-0.1336398720741272,-0.0430116131901741,Atlantic-Congo,Latn,-3.4385849137337767
SmolLM2-1.7B,afr_Latn,0.31333333333333335,Latn,Indo-European,9.04883387717687,1.7021,0.46,-0.03384236991405487,0.0674077719449997,Indo-European,Latn,-2.38343718962314
SmolLM2-1.7B,asm_Beng,0.2833333333333333,Beng,Indo-European,7.923181284977745,,,,,Indo-European,other,-3.0680529351336174
SmolLM2-1.7B,ces_Latn,0.29333333333333333,Latn,Balto-Slavic,10.755192300065602,2.4253,0.2833333333333333,-0.03607029840350151,0.04026901721954346,Balto-Slavic,Latn,-2.7916369172104756
SmolLM2-1.7B,fra_Latn,0.33,Latn,Indo-European,11.504243358607456,1.5494,0.8466666666666667,-0.005531704518944025,0.11152391135692596,Indo-European,Latn,-2.12525107771113
SmolLM2-1.7B,hin_Latn,0.27666666666666667,,,,,,,,other,other,-3.3004558118606235
SmolLM2-1.7B,jav_Latn,0.26,Latn,Austronesian,,,,,,Austronesian,Latn,-4.304065093204169
SmolLM2-1.7B,kin_Latn,0.2633333333333333,Latn,Atlantic-Congo,,1.9378,0.04,-0.13274525105953217,-0.040626849979162216,Atlantic-Congo,Latn,-4.011868340397864
SmolLM2-1.7B,mal_Mlym,0.23666666666666666,Mlym,Dravidian,9.322334431411548,9.8331,0.0,-0.10160847008228302,-0.06122862547636032,Dravidian,other,-4.304065093204169
SmolLM2-1.7B,npi_Latn,0.24333333333333335,,,,,,,,other,other,-4.304065093204169
SmolLM2-1.7B,por_Latn,0.32,Latn,Indo-European,11.136535917638877,1.6192,0.91,0.02271152287721634,0.13458997011184692,Indo-European,Latn,-2.2735975561207935
SmolLM2-1.7B,sna_Latn,0.25,Latn,Atlantic-Congo,,,,,,Atlantic-Congo,Latn,-4.304065093204169
SmolLM2-1.7B,swh_Latn,0.28,Latn,Atlantic-Congo,7.487255902011655,1.8768,0.05333333333333334,-0.0964687392115593,-0.01848679780960083,Atlantic-Congo,Latn,-3.178053830347945
SmolLM2-1.7B,tur_Latn,0.29333333333333333,Latn,Turkic,10.808162253319553,2.1623,0.11666666666666667,-0.04987383261322975,0.015444161370396614,Turkic,Latn,-2.7916369172104756
SmolLM2-1.7B,yor_Latn,0.25,Latn,Atlantic-Congo,4.632892380992985,3.6949,0.02,-0.07898874580860138,-0.041562505066394806,Atlantic-Congo,Latn,-4.304065093204169
SmolLM2-1.7B,als_Latn,0.26666666666666666,Latn,Indo-European,9.562161153905935,2.1651,0.07,-0.08172900974750519,-0.0047149197198450565,Indo-European,Latn,-3.7841896339182615
SmolLM2-1.7B,azj_Latn,0.2633333333333333,Latn,Turkic,9.545721659518483,2.5151,0.03,-0.08434609323740005,-0.02013261243700981,Turkic,Latn,-4.011868340397864
SmolLM2-1.7B,ckb_Arab,0.27666666666666667,Arab,Indo-European,8.481429599472412,,,,,Indo-European,Arab,-3.3004558118606235
SmolLM2-1.7B,fuv_Latn,0.25,Latn,Atlantic-Congo,,,,,,Atlantic-Congo,Latn,-4.304065093204169
SmolLM2-1.7B,hrv_Latn,0.2833333333333333,Latn,Balto-Slavic,7.610626216540094,1.9876,0.30333333333333334,-0.02775556594133377,0.04606061801314354,Balto-Slavic,Latn,-3.0680529351336174
